ID,Country,"GDP (nominal, 2017)",GDP growth,Population (2017),GDP per capita,Share of World GDP
1,United States,19485394000000,2.27%,325084756,"$59,939 ",24.08%
2,China,12237700479375,6.90%,1421021791,"$8,612 ",15.12%
3,Japan,4872415104315,1.71%,127502725,"$38,214 ",6.02%
4,Germany,3693204332230,2.22%,82658409,"$44,680 ",4.56%
5,India,2650725335364,6.68%,1338676785,"$1,980 ",3.28%
6,United Kingdom,2637866340434,1.79%,66727461,"$39,532 ",3.26%
7,France,2582501307216,1.82%,64842509,"$39,827 ",3.19%
8,Brazil,2053594877013,0.98%,207833823,"$9,881 ",2.54%
9,Italy,1943835376342,1.50%,60673701,"$32,038 ",2.40%
10,Canada,1647120175449,3.05%,36732095,"$44,841 ",2.04%
11,Russia,1578417211937,1.55%,145530082,"$10,846 ",1.95%
12,South Korea,1530750923149,3.06%,51096415,"$29,958 ",1.89%
13,Australia,1323421072479,1.96%,24584620,"$53,831 ",1.64%
14,Spain,1314314164402,3.05%,46647428,"$28,175 ",1.62%
15,Mexico,1150887823404,2.04%,124777324,"$9,224 ",1.42%
16,Indonesia,1015420587285,5.07%,264650963,"$3,837 ",1.25%
17,Turkey,851549299635,7.44%,81116450,"$10,498 ",1.05%
18,Netherlands,830572618850,3.16%,17021347,"$48,796 ",1.03%
19,Saudi Arabia,686738400000,-0.86%,33101179,"$20,747 ",0.85%
20,Switzerland,678965423322,1.09%,8455804,"$80,296 ",0.84%
21,Argentina,637430331479,2.85%,43937140,"$14,508 ",0.79%
22,Sweden,535607385506,2.29%,9904896,"$54,075 ",0.66%
23,Poland,526465839003,4.81%,37953180,"$13,871 ",0.65%
24,Belgium,494763551891,1.73%,11419748,"$43,325 ",0.61%
25,Thailand,455302682986,3.91%,69209810,"$6,579 ",0.56%
26,Iran,454012768724,3.76%,80673883,"$5,628 ",0.56%
27,Austria,416835975862,3.04%,8819901,"$47,261 ",0.52%
28,Norway,399488897844,1.92%,5296326,"$75,428 ",0.49%
29,United Arab Emirates,382575085092,0.79%,9487203,"$40,325 ",0.47%
30,Nigeria,375745486521,0.81%,190873244,"$1,969 ",0.46%
31,Israel,353268411919,3.33%,8243848,"$42,852 ",0.44%
32,South Africa,348871647960,1.32%,57009756,"$6,120 ",0.43%
33,Hong Kong,341449340451,3.79%,7306322,"$46,733 ",0.42%
34,Ireland,331430014003,7.80%,4753279,"$69,727 ",0.41%
35,Denmark,329865537183,2.24%,5732274,"$57,545 ",0.41%
36,Singapore,323907234412,3.62%,5708041,"$56,746 ",0.40%
37,Malaysia,314710259511,5.90%,31104646,"$10,118 ",0.39%
38,Colombia,314457601860,1.79%,48909839,"$6,429 ",0.39%
39,Philippines,313595208737,6.68%,105172925,"$2,982 ",0.39%
40,Pakistan,304951818494,5.70%,207906209,"$1,467 ",0.38%
41,Chile,277075944402,1.49%,18470439,"$15,001 ",0.34%
42,Finland,252301837573,2.63%,5511371,"$45,778 ",0.31%
43,Bangladesh,249723862487,7.28%,159685424,"$1,564 ",0.31%
44,Egypt,235369129338,4.18%,96442591,"$2,441 ",0.29%
45,Vietnam,223779865815,6.81%,94600648,"$2,366 ",0.28%
46,Portugal,219308128887,2.68%,10288527,"$21,316 ",0.27%
47,Czech Republic (Czechia),215913545038,4.29%,10641034,"$20,291 ",0.27%
48,Romania,211883923504,7.26%,19653969,"$10,781 ",0.26%
49,Peru,211389272242,2.53%,31444298,"$6,723 ",0.26%
50,New Zealand,204139049909,3.03%,4702034,"$43,415 ",0.25%
51,Greece,203085551429,1.35%,10569450,"$19,214 ",0.25%
52,Iraq,192060810811,-2.07%,37552781,"$5,114 ",0.24%
53,Algeria,167555280113,1.60%,41389189,"$4,048 ",0.21%
54,Qatar,166928571429,1.58%,2724728,"$61,264 ",0.21%
55,Kazakhstan,162886867832,4.10%,18080019,"$9,009 ",0.20%
56,Hungary,139761138103,3.99%,9729823,"$14,364 ",0.17%
57,Angola,122123822334,-0.15%,29816766,"$4,096 ",0.15%
58,Kuwait,120126277613,-2.87%,4056099,"$29,616 ",0.15%
59,Sudan,117487857143,4.28%,40813397,"$2,879 ",0.15%
60,Ukraine,112154185121,2.52%,44487709,"$2,521 ",0.14%
61,Morocco,109708728849,4.09%,35581255,"$3,083 ",0.14%
62,Ecuador,104295862000,2.37%,16785361,"$6,214 ",0.13%
63,Cuba,96851000000,1.78%,11339254,"$8,541 ",0.12%
64,Slovakia,95617670260,3.40%,5447900,"$17,551 ",0.12%
65,Sri Lanka,87357205923,3.31%,21128032,"$4,135 ",0.11%
66,Ethiopia,80561496134,10.25%,106399924,$757 ,0.10%
67,Kenya,79263075749,4.87%,50221142,"$1,578 ",0.10%
68,Dominican Republic,75931656815,4.55%,10513104,"$7,223 ",0.09%
69,Guatemala,75620095538,2.76%,16914970,"$4,471 ",0.09%
70,Oman,70783875163,-0.27%,4665928,"$15,170 ",0.09%
71,Myanmar,67068745521,6.76%,53382523,"$1,256 ",0.08%
72,Luxembourg,62316359824,2.30%,591910,"$105,280 ",0.08%
73,Panama,62283756584,5.32%,4106769,"$15,166 ",0.08%
74,Ghana,58996776238,8.14%,29121465,"$2,026 ",0.07%
75,Bulgaria,58220973783,3.81%,7102444,"$8,197 ",0.07%
76,Costa Rica,57285984448,3.28%,4949954,"$11,573 ",0.07%
77,Uruguay,56156972158,2.66%,3436641,"$16,341 ",0.07%
78,Croatia,55213087271,2.92%,4182857,"$13,200 ",0.07%
79,Belarus,54456465473,2.42%,9450231,"$5,762 ",0.07%
80,Lebanon,53576985687,1.53%,6819373,"$7,857 ",0.07%
81,Tanzania,53320625959,7.10%,54660339,$975 ,0.07%
82,Macao,50361201096,9.10%,622585,"$80,890 ",0.06%
83,Uzbekistan,49677172714,5.30%,31959785,"$1,554 ",0.06%
84,Slovenia,48769655479,5.00%,2076394,"$23,488 ",0.06%
85,Lithuania,47544459559,3.83%,2845414,"$16,709 ",0.06%
86,Serbia,41431648801,1.87%,8829628,"$4,692 ",0.05%
87,Azerbaijan,40747792238,0.10%,9845320,"$4,139 ",0.05%
88,Jordan,40068308451,1.97%,9785843,"$4,095 ",0.05%
89,Tunisia,39952095561,1.96%,11433443,"$3,494 ",0.05%
90,Paraguay,39667400816,5.21%,6867061,"$5,776 ",0.05%
91,Libya,38107728083,26.68%,6580724,"$5,791 ",0.05%
92,Turkmenistan,37926285714,6.50%,5757667,"$6,587 ",0.05%
93,DR Congo,37642482562,3.70%,81398764,$462 ,0.05%
94,Bolivia,37508642113,4.20%,11192855,"$3,351 ",0.05%
95,C̫te d'Ivoire,37353276059,7.70%,24437470,"$1,529 ",0.05%
96,Bahrain,35432686170,3.88%,1494076,"$23,715 ",0.04%
97,Cameroon,34922782311,3.55%,24566073,"$1,422 ",0.04%
98,Yemen,31267675216,-5.94%,27834819,"$1,123 ",0.04%
99,Latvia,30463302414,4.55%,1951097,"$15,613 ",0.04%
100,Estonia,26611651599,4.85%,1319390,"$20,170 ",0.03%
101,Uganda,25995031850,3.86%,41166588,$631 ,0.03%
102,Zambia,25868142073,3.40%,16853599,"$1,535 ",0.03%
103,Nepal,24880266905,7.91%,27632681,$900 ,0.03%
104,El Salvador,24805439600,2.32%,6388126,"$3,883 ",0.03%
105,Iceland,24488467010,3.64%,334393,"$73,233 ",0.03%
106,Honduras,22978532897,4.79%,9429013,"$2,437 ",0.03%
107,Cambodia,22158209503,7.10%,16009409,"$1,384 ",0.03%
108,Trinidad and Tobago,22079017627,-2.34%,1384059,"$15,952 ",0.03%
109,Cyprus,22054225828,4.23%,1179678,"$18,695 ",0.03%
110,Zimbabwe,22040902300,4.70%,14236595,"$1,548 ",0.03%
111,Senegal,21070225735,7.15%,15419355,"$1,366 ",0.03%
112,Papua New Guinea,20536314601,2.55%,8438036,"$2,434 ",0.03%
113,Afghanistan,19543976895,2.67%,36296113,$538 ,0.02%
114,Bosnia and Herzegovina,18054854789,3.19%,3351525,"$5,387 ",0.02%
115,Botswana,17406565823,2.36%,2205080,"$7,894 ",0.02%
116,Laos,16853087485,6.89%,6953035,"$2,424 ",0.02%
117,Mali,15334336144,5.40%,18512430,$828 ,0.02%
118,Georgia,15081338092,4.83%,4008716,"$3,762 ",0.02%
119,Gabon,15013950984,0.50%,2064823,"$7,271 ",0.02%
120,Jamaica,14781107822,0.98%,2920848,"$5,061 ",0.02%
121,State of Palestine,14498100000,3.14%,4747227,"$3,054 ",0.02%
122,Nicaragua,13814261536,4.86%,6384846,"$2,164 ",0.02%
123,Mauritius,13266427697,3.82%,1264499,"$10,491 ",0.02%
124,Namibia,13253698015,-0.95%,2402633,"$5,516 ",0.02%
125,Albania,13038538300,3.84%,2884169,"$4,521 ",0.02%
126,Mozambique,12645508634,3.74%,28649018,$441 ,0.02%
127,Malta,12518134319,6.42%,437933,"$28,585 ",0.02%
128,Burkina Faso,12322864245,6.30%,19193234,$642 ,0.02%
129,Equatorial Guinea,12293579173,-4.92%,1262002,"$9,741 ",0.02%
130,Bahamas,12162100000,1.44%,381755,"$31,858 ",0.02%
131,Brunei,12128089002,1.33%,424473,"$28,572 ",0.01%
132,Armenia,11536590636,7.50%,2944791,"$3,918 ",0.01%
133,Madagascar,11499803807,4.17%,25570512,$450 ,0.01%
134,Mongolia,11433635876,5.30%,3113786,"$3,672 ",0.01%
135,North Macedonia,11279509014,0.24%,2081996,"$5,418 ",0.01%
136,Guinea,10472514515,10.60%,12067519,$868 ,0.01%
137,Chad,9871247732,-2.95%,15016753,$657 ,0.01%
138,Benin,9246696924,5.84%,11175198,$827 ,0.01%
139,Rwanda,9135454442,6.06%,11980961,$762 ,0.01%
140,Congo,8701334800,-3.10%,5110695,"$1,703 ",0.01%
141,Haiti,8408150518,1.17%,10982366,$766 ,0.01%
142,Moldova,8128493432,4.50%,4059684,"$2,002 ",0.01%
143,Niger,8119710126,4.89%,21602382,$376 ,0.01%
144,Kyrgyzstan,7564738836,4.58%,6189733,"$1,222 ",0.01%
145,Tajikistan,7146449583,7.62%,8880268,$805 ,0.01%
146,Malawi,6303292264,4.00%,17670196,$357 ,0.01%
147,Guam,5859000000,0.19%,164281,"$35,665 ",0.01%
148,Fiji,5061202767,3.80%,877459,"$5,768 ",0.01%
149,Mauritania,5024708656,3.50%,4282570,"$1,173 ",0.01%
150,Maldives,4865546027,6.91%,496402,"$9,802 ",0.01%
151,Montenegro,4844592067,4.70%,627563,"$7,720 ",0.01%
152,Togo,4757776485,4.40%,7698474,$618 ,0.01%
153,Barbados,4673500000,1.00%,286232,"$16,328 ",0.01%
154,Eswatini,4433664364,1.87%,1124805,"$3,942 ",0.01%
155,Sierra Leone,3775047334,4.21%,7488423,$504 ,0.00%
156,Guyana,3621046005,2.92%,775222,"$4,671 ",0.00%
157,Liberia,3285455000,2.47%,4702226,$699 ,0.00%
158,Burundi,3172416146,0.50%,10827019,$293 ,0.00%
159,Andorra,3012914131,1.87%,77001,"$39,128 ",0.00%
160,Suriname,2995827901,1.69%,570496,"$5,251 ",0.00%
161,Timor-Leste,2954621000,-8.00%,1243258,"$2,377 ",0.00%
162,Aruba,2700558659,1.33%,105366,"$25,630 ",0.00%
163,Lesotho,2578265358,-2.29%,2091534,"$1,233 ",0.00%
164,Bhutan,2528007911,4.63%,745563,"$3,391 ",0.00%
165,Central African Republic,1949411659,4.30%,4596023,$424 ,0.00%
166,Belize,1862614800,1.44%,375769,"$4,957 ",0.00%
167,Cabo Verde,1772706451,4.01%,537498,"$3,298 ",0.00%
168,Saint Lucia,1737504296,3.82%,180954,"$9,602 ",0.00%
169,San Marino,1632860041,1.50%,33671,"$48,495 ",0.00%
170,Northern Mariana Islands,1593000000,25.14%,56562,"$28,164 ",0.00%
171,Antigua and Barbuda,1510084751,3.03%,95426,"$15,825 ",0.00%
172,Seychelles,1497959569,5.28%,96418,"$15,536 ",0.00%
173,Gambia,1489464788,4.56%,2213889,$673 ,0.00%
174,Guinea-Bissau,1346841897,5.92%,1828145,$737 ,0.00%
175,Solomon Islands,1303453622,3.24%,636039,"$2,049 ",0.00%
176,Grenada,1126882296,5.06%,110874,"$10,164 ",0.00%
177,Comoros,1068124330,2.71%,813892,"$1,312 ",0.00%
178,Saint Kitts & Nevis,992007403,1.17%,52045,"$19,061 ",0.00%
179,Vanuatu,862879789,4.50%,285510,"$3,022 ",0.00%
180,Samoa,840927997,2.70%,195352,"$4,305 ",0.00%
181,St. Vincent & Grenadines,785222509,0.86%,109827,"$7,150 ",0.00%
182,American Samoa,634000000,-5.38%,55620,"$11,399 ",0.00%
183,Dominica,496727000,-9.53%,71458,"$6,951 ",0.00%
184,Tonga,427659795,2.70%,101998,"$4,193 ",0.00%
185,Sao Tome & Principe,392570293,3.87%,207089,"$1,896 ",0.00%
186,Micronesia,336427500,3.20%,532899,$631 ,0.00%
187,Palau,289823500,-3.57%,17808,"$16,275 ",0.00%
188,Marshall Islands,204173430,3.60%,58058,"$3,517 ",0.00%
189,Kiribati,185572502,0.33%,114158,"$1,626 ",0.00%
190,Tuvalu,39731317,3.24%,11370,"$3,494 ",0.00%
